country	1800	1801	1802	1803	1804	1805	1806	1807	1808	1809	1810	1811	1812	1813	1814	1815	1816	1817	1818	1819	1820	1821	1822	1823	1824	1825	1826	1827	1828	1829	1830	1831	1832	1833	1834	1835	1836	1837	1838	1839	1840	1841	1842	1843	1844	1845	1846	1847	1848	1849	1850	1851	1852	1853	1854	1855	1856	1857	1858	1859	1860	1861	1862	1863	1864	1865	1866	1867	1868	1869	1870	1871	1872	1873	1874	1875	1876	1877	1878	1879	1880	1881	1882	1883	1884	1885	1886	1887	1888	1889	1890	1891	1892	1893	1894	1895	1896	1897	1898	1899	1900	1901	1902	1903	1904	1905	1906	1907	1908	1909	1910	1911	1912	1913	1914	1915	1916	1917	1918	1919	1920	1921	1922	1923	1924	1925	1926	1927	1928	1929	1930	1931	1932	1933	1934	1935	1936	1937	1938	1939	1940	1941	1942	1943	1944	1945	1946	1947	1948	1949	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
Sierra Leone	794264	794264	794264	794264	794264	794264	794264	794264	794264	794264	794264	795689	797114	798539	799964	801389	802814	804239	805664	807089	808514	812655	816795	820936	825076	829217	833358	837498	841639	845779	849920	855801	861682	867563	873444	879325	885206	891087	896968	902849	908730	915018	921306	927594	933882	940170	946457	952745	959033	965321	971609	978696	985784	992871	999958	1007046	1014133	1021220	1028307	1035395	1042482	1050085	1057688	1065290	1072893	1080496	1088099	1095702	1103304	1110907	1118510	1126632	1134754	1142876	1150998	1159120	1167241	1175363	1183485	1191607	1199729	1208435	1217142	1225848	1234554	1243260	1251967	1260673	1269379	1278086	1286792	1296172	1305551	1314931	1324310	1333690	1343070	1352449	1361829	1371208	1380588	1390623	1400658	1410693	1420728	1430764	1440799	1450834	1460869	1470904	1480939	1491544	1502149	1512754	1523359	1533964	1544570	1555175	1565780	1576385	1586990	1597971	1608952	1619933	1630914	1641896	1652877	1663858	1674839	1685820	1696801	1708542	1720283	1732024	1743765	1755506	1767246	1778987	1790728	1802469	1814210	1827189	1840168	1853147	1866126	1879106	1892085	1905064	1918043	1931022	1944001	1945883	1947764	1949646	1951528	1953410	1955291	1957173	1959055	1960936	1962818	1964868	1966919	1968969	1971019	1973070	1975120	1977170	1979220	1981271	1983321	1985505	1987689	1989873	1992057	1994242	1996426	1998610	2000794	2002978	2005162	2007453	2009744	2012034	2014325	2016616	2018907	2021198	2023488	2025779	2028070	2030448	2032825	2035202	2037580	2039958	2042335	2044712	2047090	2049468	2051845	2054297	2056748	2059200	2061652	2064104	2066555	2069007	2071459	2073910	2076362	2951726	3827091	4702455	5577820	6453184
Singapore	30000	30000	30000	30000	30000	30000	30000	30000	30000	30000	30000	30176	30352	30528	30704	30880	31057	31233	31409	31585	31761	32308	32855	33402	33949	34496	35044	35591	36138	36685	37232	38093	38954	39815	40676	41538	42399	43260	44121	44982	45843	46894	47945	48997	50048	51099	52150	53201	54253	55304	56355	57629	58903	60177	61451	62724	63998	65272	66546	67820	69094	70936	72778	74620	76462	78304	80147	81989	83831	85673	87515	90378	93241	96104	98967	101830	104692	107555	110418	113281	116144	120302	124460	128618	132776	136934	141092	145250	149408	153566	157724	163539	169354	175169	180984	186800	192615	198430	204245	210060	215875	223697	231518	239340	247162	254984	262805	270627	278449	286270	294092	304280	314469	324657	334845	345034	355222	365410	375598	385787	395975	414125	432276	450426	468576	486726	504877	523027	541177	559328	577478	594596	611714	628832	645950	663068	680185	697303	714421	731539	748657	776001	803345	830689	858033	885378	912722	940066	967410	994754	1022098	1026685	1031271	1035858	1040444	1045031	1049618	1054204	1058791	1063377	1067964	1073195	1078427	1083658	1088889	1094120	1099352	1104583	1109814	1115046	1120277	1126057	1131836	1137616	1143396	1149176	1154955	1160735	1166515	1172294	1178074	1184295	1190516	1196737	1202958	1209178	1215399	1221620	1227841	1234062	1240283	1246828	1253373	1259917	1266462	1273007	1279552	1286097	1292641	1299186	1305731	1312470	1319209	1325948	1332687	1339426	1346165	1352904	1359643	1366382	1373121	2219245	3065369	3911492	4757616	5603740
Slovak Republic	2140651	2140651	2140651	2140651	2140651	2140651	2140651	2140651	2140651	2140651	2140651	2142719	2144786	2146854	2148922	2150990	2153057	2155125	2157193	2159260	2161328	2167253	2173177	2179102	2185026	2190951	2196876	2202800	2208725	2214649	2220574	2228809	2237043	2245278	2253513	2261748	2269982	2278217	2286452	2294686	2302921	2311461	2320001	2328541	2337081	2345622	2354162	2362702	2371242	2379782	2388322	2397016	2405710	2414405	2423099	2431793	2440487	2449181	2457876	2466570	2475264	2484274	2493285	2502296	2511306	2520316	2529327	2538338	2547348	2556358	2565369	2574685	2584001	2593317	2602633	2611950	2621266	2630582	2639898	2649214	2658530	2668182	2677834	2687485	2697137	2706789	2716441	2726093	2735744	2745396	2755048	2765077	2775105	2785134	2795162	2805191	2815220	2825248	2835277	2845305	2855334	2865712	2876090	2886468	2896846	2907224	2917601	2927979	2938357	2948735	2959113	2969949	2980785	2991621	3002457	3013292	3024128	3034964	3045800	3056636	3067472	3078847	3090223	3101598	3112973	3124348	3135724	3147099	3158474	3169850	3181225	3193022	3204819	3216617	3228414	3240211	3252008	3263805	3275603	3287400	3299197	3312935	3326672	3340410	3354148	3367886	3381623	3395361	3409099	3422836	3436574	3443912	3451251	3458589	3465927	3473266	3480604	3487942	3495280	3502619	3509957	3517557	3525158	3532758	3540358	3547958	3555559	3563159	3570759	3578360	3585960	3593635	3601309	3608984	3616659	3624334	3632008	3639683	3647358	3655032	3662707	3670304	3677900	3685497	3693094	3700690	3708287	3715884	3723481	3731077	3738674	3746076	3753478	3760881	3768283	3775685	3783087	3790489	3797892	3805294	3812696	3819824	3826952	3834080	3841208	3848336	3855465	3862593	3869721	3876849	3883977	4192433	4500889	4809346	5117802	5426258
Slovenia	469664	469664	469664	469664	469664	469664	469664	469664	469664	469664	469664	470780	471895	473011	474127	475242	476358	477474	478590	479705	480821	484095	487369	490642	493916	497190	500464	503738	507011	510285	513559	518279	523000	527720	532440	537160	541881	546601	551321	556042	560762	565916	571070	576224	581378	586532	591687	596841	601995	607149	612303	617933	623562	629192	634821	640451	646081	651710	657340	662969	668599	674746	680894	687041	693188	699336	705483	711630	717777	723925	730072	736745	743419	750092	756766	763439	770112	776786	783459	790133	796806	804085	811364	818643	825922	833200	840479	847758	855037	862316	869595	877590	885585	893581	901576	909571	917566	925561	933557	941552	949547	958245	966943	975642	984340	993038	1001736	1010434	1019133	1027831	1036529	1046052	1055575	1065099	1074622	1084145	1093668	1103191	1112715	1122238	1131761	1142163	1152566	1162968	1173370	1183772	1194175	1204577	1214979	1225382	1235784	1247142	1258501	1269860	1281218	1292576	1303935	1315294	1326652	1338010	1349369	1361742	1374114	1386486	1398859	1411232	1423604	1435976	1448349	1460722	1473094	1473948	1474803	1475657	1476511	1477366	1478220	1479074	1479928	1480783	1481637	1482641	1483644	1484648	1485651	1486655	1487659	1488662	1489666	1490669	1491673	1492789	1493906	1495022	1496139	1497255	1498371	1499488	1500604	1501721	1502837	1504032	1505227	1506423	1507618	1508813	1510008	1511203	1512399	1513594	1514789	1516031	1517272	1518514	1519755	1520997	1522239	1523480	1524722	1525963	1527205	1528463	1529721	1530979	1532237	1533496	1534754	1536012	1537270	1538528	1539786	1645334	1750882	1856430	1961978	2067526
Solomon Islands	56998	56998	56998	56998	56998	56998	56998	56998	56998	56998	56998	57066	57135	57203	57272	57340	57408	57477	57545	57614	57682	57879	58075	58272	58468	58665	58862	59058	59255	59451	59648	59923	60198	60473	60748	61023	61298	61573	61848	62123	62398	62686	62973	63261	63548	63836	64124	64411	64699	64986	65274	65411	65549	65686	65824	65961	66098	66236	66373	66511	66648	66784	66920	67057	67193	67329	67465	67601	67738	67874	68010	68144	68277	68411	68544	68678	68812	68945	69079	69212	69346	69478	69609	69740	69872	70004	70135	70266	70398	70530	70661	70791	70921	71051	71181	71311	71441	71571	71701	71831	71961	72087	72214	72340	72466	72592	72719	72845	72971	73098	73224	73419	73613	73808	74002	74197	74392	74586	74781	74975	75170	75517	75863	76210	76556	76903	77250	77596	77943	78289	78636	79158	79681	80203	80725	81248	81770	82292	82814	83337	83859	84452	85046	85639	86233	86826	87419	88013	88606	89200	89793	89994	90196	90398	90599	90800	91002	91204	91405	91606	91808	92035	92262	92489	92716	92944	93171	93398	93625	93852	94079	94327	94575	94824	95072	95320	95568	95816	96065	96313	96561	96827	97093	97359	97625	97891	98157	98423	98689	98955	99221	99502	99782	100063	100343	100624	100905	101185	101466	101746	102027	102320	102614	102908	103201	103494	103788	104082	104375	104668	104962	200688	296414	392139	487865	583591
Somalia	991488	991913	992338	992763	993188	993613	994038	994463	994888	995313	995738	997736	999733	1001731	1003728	1005726	1007724	1009721	1011719	1013716	1015714	1020707	1025701	1030694	1035688	1040681	1045674	1050668	1055661	1060655	1065648	1072562	1079475	1086389	1093302	1100216	1107130	1114043	1120957	1127870	1134784	1142146	1149508	1156871	1164233	1171595	1178957	1186319	1193682	1201044	1208406	1216146	1223886	1231626	1239366	1247106	1254846	1262586	1270326	1278066	1285806	1294042	1302278	1310513	1318749	1326985	1335221	1343457	1351692	1359928	1368164	1376891	1385618	1394344	1403071	1411798	1420525	1429252	1437978	1446705	1455432	1464711	1473990	1483270	1492549	1501828	1511107	1520386	1529666	1538945	1548224	1558140	1568057	1577973	1587889	1597806	1607722	1617638	1627554	1637471	1647387	1657911	1668434	1678958	1689481	1700005	1710529	1721052	1731576	1742099	1752623	1763892	1775160	1786429	1797698	1808966	1820235	1831504	1842773	1854041	1865310	1877412	1889513	1901614	1913716	1925818	1937919	1950020	1962122	1974224	1986325	1999212	2012098	2024985	2037872	2050758	2063645	2076532	2089419	2102305	2115192	2130081	2144970	2159859	2174748	2189636	2204525	2219414	2234303	2249192	2264081	2268430	2272780	2277130	2281479	2285828	2290178	2294528	2298877	2303226	2307576	2312000	2316423	2320846	2325270	2329694	2334117	2338540	2342964	2347388	2351811	2356337	2360862	2365388	2369913	2374439	2378965	2383490	2388016	2392541	2397067	2401718	2406369	2411020	2415671	2420322	2424972	2429623	2434274	2438925	2443576	2448371	2453167	2457962	2462758	2467553	2472348	2477144	2481939	2486735	2491530	2496484	2501437	2506391	2511345	2516298	2521252	2526206	2531160	2536113	2541067	4190274	5839482	7488689	9137897	10787104
South Africa	1440820	1446216	1451612	1457008	1462404	1467800	1473195	1478591	1483987	1489383	1494779	1503014	1511248	1519483	1527717	1535952	1544187	1552421	1560656	1568890	1577125	1590910	1604694	1618478	1632263	1646048	1659832	1673616	1687401	1701186	1714970	1732880	1750790	1768700	1786610	1804520	1822430	1840340	1858250	1876160	1894070	1913850	1933631	1953411	1973191	1992972	2012752	2032532	2052312	2072093	2091873	2113704	2135534	2157365	2179195	2201026	2222857	2244687	2266518	2288348	2310179	2342145	2374110	2406076	2438042	2470008	2501973	2533939	2565905	2597870	2629836	2681059	2732282	2783505	2834728	2885951	2937174	2988397	3039620	3090843	3142066	3212444	3282823	3353201	3423579	3493958	3564336	3634714	3705092	3775471	3845849	3933378	4020906	4108434	4195963	4283492	4371020	4458548	4546077	4633606	4721134	4827609	4934085	5040560	5147035	5253510	5359986	5466461	5572936	5679412	5785887	5922828	6059769	6196711	6333652	6470593	6607534	6744475	6881417	7018358	7155299	7327821	7500344	7672866	7845388	8017910	8190433	8362955	8535477	8708000	8880522	9094641	9308761	9522880	9736999	9951118	10165238	10379357	10593476	10807596	11021715	11287860	11554004	11820149	12086294	12352438	12618583	12884728	13150873	13417017	13683162	13714235	13745307	13776380	13807452	13838525	13869598	13900670	13931743	13962815	13993888	14026740	14059592	14092444	14125296	14158148	14191001	14223853	14256705	14289557	14322409	14356682	14390955	14425228	14459501	14493774	14528047	14562320	14596593	14630866	14665139	14700588	14736036	14771485	14806934	14842382	14877831	14913280	14948729	14984177	15019626	15056119	15092612	15129105	15165598	15202092	15238585	15275078	15311571	15348064	15384557	15422082	15459608	15497134	15534659	15572184	15609710	15647236	15684761	15722286	15759812	23505931	31252050	38998168	46744287	54490406
Spain	11549294	11581694	11614095	11646495	11678896	11711296	11743696	11776097	11808497	11840898	11873298	11919287	11965277	12011266	12057256	12103245	12149234	12195224	12241213	12287203	12333192	12405049	12476906	12548763	12620620	12692477	12764334	12836191	12908048	12979905	13051762	13141391	13231019	13320648	13410276	13499905	13589534	13679162	13768791	13858419	13948048	14037929	14127810	14217691	14307572	14397452	14487333	14577214	14667095	14756976	14846857	14923112	14999367	15075622	15151877	15228132	15304386	15380641	15456896	15533151	15609406	15671078	15732749	15794421	15856093	15917764	15979436	16041108	16102780	16164451	16226123	16295611	16365099	16434587	16504075	16573564	16643052	16712540	16782028	16851516	16921004	17007283	17093562	17179840	17266119	17352398	17438677	17524956	17611234	17697513	17783792	17870657	17957523	18044388	18131254	18218119	18304984	18391850	18478715	18565581	18652446	18778286	18904127	19029967	19155807	19281648	19407488	19533328	19659168	19785009	19910849	20050608	20190367	20330127	20469886	20609645	20749404	20889163	21028923	21168682	21308441	21528968	21749494	21970021	22190548	22411074	22631601	22852128	23072655	23293181	23513708	23745167	23976627	24208086	24439546	24671005	24902464	25133924	25365383	25596843	25828302	26052446	26276589	26500732	26724876	26949020	27173163	27397306	27621450	27845594	28069737	28086496	28103254	28120013	28136771	28153530	28170289	28187047	28203806	28220564	28237323	28256635	28275947	28295259	28314571	28333882	28353194	28372506	28391818	28411130	28430442	28451577	28472712	28493846	28514981	28536116	28557251	28578386	28599520	28620655	28641790	28664226	28686662	28709098	28731534	28753970	28776406	28798842	28821278	28843714	28866150	28889575	28912999	28936424	28959848	28983273	29006698	29030122	29053547	29076971	29100396	29124717	29149037	29173358	29197678	29221999	29246320	29270640	29294961	29319281	29343602	32699221	36054841	39410460	42766080	46121699
Sri Lanka	1213000	1213000	1213000	1213000	1213000	1213000	1213000	1213000	1213000	1213000	1213000	1219860	1226720	1233581	1240441	1247301	1254161	1261021	1267882	1274742	1281602	1302850	1324098	1345347	1366595	1387843	1409091	1430339	1451588	1472836	1494084	1527350	1560615	1593881	1627146	1660412	1693678	1726943	1760209	1793474	1826740	1861779	1896819	1931858	1966898	2001937	2036976	2072016	2107055	2142095	2177134	2208806	2240478	2272150	2303822	2335494	2367166	2398838	2430510	2462182	2493854	2521996	2550138	2578279	2606421	2634563	2662705	2690847	2718988	2747130	2775272	2802167	2829062	2855956	2882851	2909746	2936641	2963536	2990430	3017325	3044220	3078571	3112922	3147273	3181624	3215976	3250327	3284678	3319029	3353380	3387731	3446970	3506210	3565449	3624689	3683928	3743167	3802407	3861646	3920886	3980125	4051352	4122580	4193807	4265035	4336262	4407489	4478717	4549944	4621172	4692399	4751291	4810184	4869076	4927968	4986860	5045753	5104645	5163537	5222430	5281322	5328016	5374709	5421403	5468097	5514790	5561484	5608178	5654872	5701565	5748259	5791025	5833791	5876558	5919324	5962090	6004856	6047622	6090389	6133155	6175921	6365910	6555899	6745888	6935877	7125866	7315854	7505843	7695832	7885821	8075810	8088380	8100949	8113518	8126088	8138658	8151227	8163796	8176366	8188936	8201505	8215233	8228961	8242688	8256416	8270144	8283872	8297600	8311327	8325055	8338783	8353830	8368876	8383923	8398969	8414016	8429063	8444109	8459156	8474202	8489249	8505702	8522156	8538610	8555063	8571516	8587970	8604424	8620877	8637330	8653784	8671660	8689535	8707411	8725287	8743162	8761038	8778914	8796790	8814665	8832541	8851778	8871015	8890252	8909489	8928726	8947963	8967200	8986437	9005674	9024911	11362931	13700951	16038970	18376990	20715010
Sudan	3994154	3999479	4004805	4010130	4015456	4020781	4026106	4031432	4036757	4042083	4047408	4056216	4065024	4073832	4082640	4091448	4100256	4109064	4117872	4126680	4135488	4150850	4166211	4181573	4196935	4212296	4227658	4243020	4258382	4273743	4289105	4308604	4328102	4347601	4367100	4386598	4406097	4425596	4445095	4464593	4484092	4504477	4524862	4545248	4565633	4586018	4606403	4626788	4647174	4667559	4687944	4693092	4698240	4703388	4708536	4713684	4718832	4723980	4729128	4734276	4739424	4744071	4748719	4753366	4758013	4762660	4767308	4771955	4776602	4781250	4785897	4789927	4793957	4797987	4802017	4806047	4810077	4814107	4818137	4822167	4826197	4829602	4833008	4836414	4839819	4843224	4846630	4850036	4853441	4856846	4860252	4863043	4865833	4868624	4871414	4874205	4876996	4879786	4882577	4885367	4888158	4890159	4892160	4894161	4896162	4898164	4900165	4902166	4904167	4906168	4908169	4916410	4924651	4932892	4941133	4949374	4957616	4965857	4974098	4982339	4990580	5013268	5035955	5058643	5081331	5104018	5126706	5149394	5172082	5194769	5217457	5241176	5264895	5288614	5312333	5336052	5359772	5383491	5407210	5430929	5454648	5482578	5510507	5538437	5566366	5594296	5622226	5650155	5678085	5706014	5733944	5748917	5763889	5778862	5793834	5808807	5823780	5838752	5853725	5868697	5883670	5899212	5914753	5930295	5945836	5961378	5976920	5992461	6008003	6023544	6039086	6055227	6071367	6087508	6103648	6119789	6135930	6152070	6168211	6184351	6200492	6217264	6234036	6250808	6267580	6284352	6301123	6317895	6334667	6351439	6368211	6385648	6403085	6420523	6437960	6455397	6472834	6490271	6507709	6525146	6542583	6560722	6578860	6596998	6615137	6633276	6651414	6669552	6687691	6705830	6723968	13426151	20128334	26830516	33532699	40234882
Suriname	80721	80721	80721	80721	80721	80721	80721	80721	80721	80721	80721	80885	81048	81212	81375	81539	81703	81866	82030	82193	82357	82834	83312	83789	84266	84744	85221	85698	86175	86653	87130	87812	88494	89176	89858	90540	91221	91903	92585	93267	93949	94684	95420	96155	96890	97626	98361	99096	99831	100567	101302	102080	102857	103635	104413	105190	105968	106746	107524	108301	109079	109916	110754	111591	112429	113266	114103	114941	115778	116616	117453	118350	119247	120144	121041	121938	122836	123733	124630	125527	126424	127389	128354	129319	130284	131249	132214	133179	134144	135109	136074	137118	138163	139208	140252	141296	142341	143386	144430	145474	146519	147640	148761	149882	151003	152124	153246	154367	155488	156609	157730	158948	160166	161384	162602	163820	165038	166256	167474	168692	169910	171240	172570	173899	175229	176559	177889	179219	180548	181878	183208	184642	186076	187510	188944	190378	191812	193246	194680	196114	197548	199293	201038	202783	204528	206274	208019	209764	211509	213254	214999	215767	216535	217303	218071	218839	219607	220375	221143	221911	222679	223376	224074	224771	225469	226166	226863	227561	228258	228956	229653	230322	230992	231662	232331	233000	233670	234340	235009	235678	236348	237022	237696	238370	239044	239718	240391	241065	241739	242413	243087	243788	244488	245189	245890	246590	247291	247992	248693	249393	250094	250833	251572	252311	253050	253790	254529	255268	256007	256746	257485	314583	371681	428779	485877	542975
Swaziland	86000	86000	86000	86000	86000	86000	86000	86000	86000	86000	86000	86000	86000	86000	86000	86000	86000	86000	86000	86000	86000	86000	86000	86000	86000	86000	86000	86000	86000	86000	86000	86000	86000	86000	86000	86000	86000	86000	86000	86000	86000	86000	86000	86000	86000	86000	86000	86000	86000	86000	86000	86030	86059	86089	86118	86148	86178	86207	86237	86266	86296	86326	86355	86385	86414	86444	86474	86503	86533	86562	86592	86622	86651	86680	86710	86740	86769	86798	86828	86858	86887	86917	86946	86976	87005	87035	87065	87094	87124	87153	87183	87240	87297	87354	87411	87468	87525	87582	87639	87696	87753	89676	91599	93522	95445	97368	99291	101214	103137	105060	106983	107802	108622	109441	110260	111080	111899	112718	113537	114357	115176	117741	120306	122871	125436	128002	130567	133132	135697	138262	140827	144006	147186	150366	153545	156724	159904	163084	166263	169442	172622	182660	192698	202735	212773	222811	232849	242887	252924	262962	273000	273595	274190	274786	275381	275976	276571	277166	277762	278357	278952	279591	280229	280868	281506	282145	282784	283422	284061	284699	285338	286023	286708	287393	288078	288764	289449	290134	290819	291504	292189	292920	293652	294383	295114	295846	296577	297308	298039	298771	299502	300277	301051	301826	302601	303376	304150	304925	305700	306474	307249	308060	308871	309683	310494	311305	312116	312927	313739	314550	315361	509683	704005	898326	1092648	1286970
Sweden	2354189	2361589	2368988	2376388	2383787	2391187	2398587	2405986	2413386	2420785	2428185	2444519	2460852	2477186	2493519	2509853	2526187	2542520	2558854	2575187	2591521	2617946	2644372	2670797	2697222	2723648	2750073	2776498	2802923	2829349	2855774	2883486	2911198	2938909	2966621	2994333	3022045	3049757	3077468	3105180	3132892	3163662	3194432	3225202	3255972	3286742	3317513	3348283	3379053	3409823	3440593	3477487	3514381	3551276	3588170	3625064	3661958	3698852	3735747	3772641	3809535	3846018	3882501	3918984	3955467	3991950	4028433	4064916	4101399	4137882	4174365	4207238	4240111	4272984	4305857	4338730	4371603	4404476	4437349	4470222	4503095	4530796	4558498	4586199	4613901	4641602	4669303	4697005	4724706	4752408	4780109	4813208	4846306	4879405	4912503	4945602	4978701	5011799	5044898	5077996	5111095	5149261	5187427	5225594	5263760	5301926	5340092	5378258	5416425	5454591	5492757	5530523	5568289	5606055	5643821	5681588	5719354	5757120	5794886	5832652	5870418	5897433	5924448	5951462	5978477	6005492	6032507	6059522	6086536	6113551	6140566	6161848	6183129	6204410	6225692	6246974	6268255	6289536	6310818	6332100	6353381	6419034	6484687	6550341	6615994	6681647	6747300	6812953	6878607	6944260	7009913	7016130	7022346	7028563	7034780	7040996	7047213	7053430	7059647	7065863	7072080	7077426	7082772	7088118	7093464	7098810	7104155	7109501	7114847	7120193	7125539	7130297	7135055	7139814	7144572	7149330	7154088	7158846	7163605	7168363	7173121	7177526	7181932	7186338	7190743	7195148	7199554	7203960	7208365	7212770	7217176	7221416	7225657	7229897	7234137	7238378	7242618	7246858	7251098	7255339	7259579	7263792	7268005	7272218	7276431	7280644	7284856	7289069	7293282	7297495	7301708	7797252	8292795	8788339	9283882	9779426
Switzerland	1826051	1833942	1841833	1849724	1857615	1865506	1873398	1881289	1889180	1897071	1904962	1913880	1922799	1931718	1940636	1949554	1958473	1967392	1976310	1985228	1994147	2004837	2015527	2026217	2036907	2047598	2058288	2068978	2079668	2090358	2101048	2113881	2126715	2139548	2152381	2165214	2178048	2190881	2203714	2216548	2229381	2243533	2257686	2271838	2285991	2300143	2314295	2328448	2342600	2356753	2370905	2384972	2399039	2413105	2427172	2441239	2455306	2469373	2483439	2497506	2511573	2526806	2542039	2557272	2572505	2587738	2602972	2618205	2633438	2648671	2663904	2679811	2695719	2711626	2727534	2743441	2759348	2775256	2791163	2807071	2822978	2837924	2852871	2867817	2882764	2897710	2912656	2927603	2942549	2957496	2972442	3004921	3037400	3069879	3102358	3134837	3167316	3199795	3232274	3264753	3297232	3340148	3383064	3425980	3468896	3511812	3554728	3597644	3640560	3683476	3726392	3740322	3754252	3768181	3782111	3796041	3809971	3823901	3837830	3851760	3865690	3883352	3901014	3918676	3936338	3954000	3971662	3989324	4006986	4024648	4042310	4060039	4077767	4095496	4113224	4130953	4148682	4166410	4184139	4201867	4219596	4264445	4309294	4354144	4398993	4443842	4488691	4533540	4578390	4623239	4668088	4673908	4679727	4685546	4691366	4697186	4703005	4708824	4714644	4720464	4726283	4732550	4738818	4745086	4751353	4757620	4763888	4770156	4776423	4782690	4788958	4795261	4801564	4807867	4814170	4820472	4826775	4833078	4839381	4845684	4851987	4858077	4864167	4870256	4876346	4882436	4888526	4894616	4900705	4906795	4912885	4918678	4924470	4930262	4936055	4941848	4947640	4953432	4959225	4965018	4970810	4976395	4981981	4987566	4993152	4998737	5004322	5009908	5015493	5021079	5026664	5681064	6335464	6989863	7644263	8298663
Syria	1337000	1337000	1337000	1337000	1337000	1337000	1337000	1337000	1337000	1337000	1337000	1338192	1339385	1340577	1341770	1342962	1344154	1345347	1346539	1347732	1348924	1352336	1355748	1359161	1362573	1365985	1369397	1372809	1376222	1379634	1383046	1387780	1392513	1397246	1401980	1406714	1411447	1416180	1420914	1425648	1430381	1435276	1440172	1445067	1449963	1454858	1459753	1464649	1469544	1474440	1479335	1484322	1489309	1494295	1499282	1504269	1509256	1514243	1519229	1524216	1529203	1535219	1541235	1547251	1553267	1559283	1565299	1571315	1577331	1583347	1589363	1597184	1605005	1612826	1620647	1628468	1636288	1644109	1651930	1659751	1667572	1676670	1685769	1694867	1703966	1713064	1722162	1731261	1740359	1749458	1758556	1768188	1777821	1787453	1797086	1806718	1816350	1825983	1835615	1845248	1854880	1865017	1875155	1885292	1895429	1905566	1915704	1925841	1935978	1946116	1956253	1980656	2005059	2029461	2053864	2078267	2102670	2127073	2151475	2175878	2200281	2234686	2269091	2303496	2337901	2372306	2406711	2441116	2475521	2509926	2544331	2584116	2623901	2663685	2703470	2743255	2783040	2822825	2862609	2902394	2942179	2989294	3036409	3083524	3130639	3177754	3224869	3271984	3319099	3366214	3413329	3422061	3430793	3439525	3448257	3456990	3465722	3474454	3483186	3491918	3500650	3510108	3519565	3529023	3538481	3547938	3557396	3566854	3576312	3585769	3595227	3605408	3615590	3625771	3635953	3646134	3656315	3666497	3676678	3686860	3697041	3707935	3718830	3729724	3740619	3751513	3762407	3773302	3784196	3795091	3805985	3817573	3829161	3840749	3852337	3863924	3875512	3887100	3898688	3910276	3921864	3934117	3946369	3958622	3970874	3983127	3995380	4007632	4019885	4032137	4044390	6935995	9827599	12719204	15610808	18502413
Tajikistan	466629	466629	466629	466629	466629	466629	466629	466629	466629	466629	466629	467783	468937	470091	471245	472398	473552	474706	475860	477014	478168	481560	484951	488342	491734	495126	498517	501908	505300	508692	512083	516985	521887	526790	531692	536594	541496	546398	551301	556203	561105	566476	571848	577219	582591	587962	593333	598705	604076	609448	614819	620636	626452	632269	638086	643902	649719	655536	661353	667169	672986	679353	685720	692086	698453	704820	711187	717554	723920	730287	736654	743580	750507	757434	764360	771286	778213	785140	792066	798992	805919	813492	821064	828637	836210	843782	851355	858928	866501	874073	881646	889987	898327	906668	915008	923349	931690	940030	948371	956711	965052	974146	983241	992335	1001429	1010524	1019618	1028712	1037806	1046901	1055995	1066018	1076041	1086064	1096087	1106110	1116134	1126157	1136180	1146203	1156226	1167294	1178363	1189432	1200500	1211568	1222637	1233706	1244774	1255842	1266911	1279039	1291167	1303295	1315423	1327552	1339680	1351808	1363936	1376064	1388192	1402523	1416854	1431185	1445516	1459847	1474178	1488509	1502840	1517171	1531502	1535997	1540492	1544988	1549483	1553978	1558473	1562968	1567464	1571959	1576454	1581263	1586072	1590880	1595689	1600498	1605307	1610116	1614924	1619733	1624542	1629500	1634457	1639414	1644372	1649330	1654287	1659244	1664202	1669160	1674117	1679126	1684134	1689143	1694152	1699160	1704169	1709178	1714187	1719195	1724204	1729234	1734264	1739294	1744324	1749354	1754384	1759414	1764444	1769474	1774504	1779597	1784691	1789784	1794877	1799970	1805064	1810157	1815250	1820344	1825437	3156721	4488004	5819288	7150571	8481855
